Target;Galaxy;HV;Diam;rho;EWLya;LyaVel;Lya;EWOVIa;OVIaVel;OVIa
3C263          ;UGC6448                   ; 991; 5.1; 634.0;    ;    ;     ;    ;    ;UL
PG1444+407     ;UGC9502                   ;5672;27.9; 637.0; 103;5638;Lya  ;    ;    ;UL
RXJ1830.3+7312 ;NGC6643                   ;1489;26.4; 638.0;    ;    ;UL   ;    ;    ;H2
PG1149-110     ;LCRSB115151.0-113904      ;3009;20.4; 640.0;    ;    ;UL   ;    ;    ;
3C249.1        ;UGC5814                   ;1881;13.3; 641.0;    ;    ;Lya  ;    ;    ;H2
PG1149-110     ;LCSBS1630P                ;1971;11.2; 642.0;    ;    ;UL   ;    ;    ;
PG1216+069     ;NGC4246                   ;3725;40.1; 644.0;    ;    ;Lya  ;    ;    ;UL
Mrk478         ;NGC5727                   ;1491;16.1; 645.0; 254;1573;Lya  ;    ;    ;UL
PKS2155-304    ;2dFGRSS407Z162            ;2832; 6.5; 648.0;    ;    ;UL   ;    ;    ;UL
PG1302-102     ;MCG-2-33-95               ;2753;17.4; 657.0;    ;    ;UL   ;    ;    ;UL
PG1302-102     ;MCG-2-33-75               ;1247; 6.8; 658.0;    ;    ;UL   ;    ;    ;CII
3C232          ;UGC5340                   ; 503; 8.3; 660.0;    ;    ;Lya  ;    ;    ;
ESO141-G55     ;IC4843                    ;3975;24.2; 662.0;    ;    ;UL   ;    ;    ;UL
Mrk279         ;UGC8737                   ;1873;19.0; 664.0;    ;    ;UL   ;    ;    ;UL
ESO185-IG13    ;2MASXJ194221.91-550627.5  ;2998; 8.4; 672.0;    ;    ;     ;    ;    ;UL
Mrk335         ;UGC44                     ;5936;21.5; 675.0;    ;    ;UL   ;    ;    ;UL
1H0717+714     ;UGC3909                   ; 945;11.3; 677.0;    ;    ;     ;    ;    ;UL
PG1011-040     ;LCRSB101019.9-032413      ;3395; 9.8; 680.0;    ;    ;     ;    ;    ;UL
PG1216+069     ;IC3136                    ;5594;28.8; 684.0;    ;    ;UL   ;    ;    ;UL
PG1049-005     ;UGC6011                   ;5547;33.5; 685.0;    ;    ;UL   ;    ;    ;
PG1001+291     ;UGC5478                   ;1378;11.2; 686.0;    ;    ;UL   ;    ;    ;H2
PG1216+069     ;NGC4257                   ;2756;16.0; 689.0;    ;    ;UL   ;    ;    ;UL
PG1049-005     ;UGC5943                   ;4544;22.4; 689.0;    ;    ;UL   ;    ;    ;
Mrk876         ;NGC6135                   ;3644;14.1; 690.0;    ;    ;UL   ;    ;    ;H2
PG1259+593     ;NGC4814                   ;2513;35.0; 694.0;    ;    ;UL   ;    ;    ;UL
Mrk335         ;UGC12893                  ;1108; 6.0; 697.0;  57;1308;Lya  ;    ;    ;H2
Mrk501         ;UGC10625                  ;2048;11.7; 700.0;    ;    ;UL   ;    ;    ;OI
1H0419-577     ;                          ;1266;    ; 700.0;    ;    ;     ;    ;    ;CII
TonS210        ;NGC45                     ; 468; 6.3; 702.0;    ;    ;Lya  ;    ;    ;UL
3C351.0        ;UGC10745                  ;3059;13.1; 710.0;    ;    ;UL   ;    ;    ;Lylim
PKS2155-304    ;MCG-5-52-1                ;2540; 6.2; 718.0;    ;    ;UL   ;    ;    ;UL
PG1116+215     ;UGC6363                   ;6306;30.0; 711.0;    ;    ;UL   ;    ;    ;UL
PKS2155-304    ;ESO466-G43                ;2608;14.8; 719.0;    ;    ;UL   ;    ;    ;UL
Mrk290         ;NGC5981                   ;1764;22.5; 725.0;    ;    ;     ;    ;    ;H2
HS0624+6907    ;UGC3580                   ;1201;18.0; 729.0;    ;    ;UL   ;    ;    ;CII
PG1001+291     ;UGC5272                   ; 520; 6.5; 731.0;    ;    ;Lya  ;    ;    ;UL
Mrk290         ;NGC5907                   ; 667;49.1; 734.0;    ;    ;     ;    ;    ;UL
PKS0558-504    ;NGC2101                   ;1192; 9.0; 734.0;    ;    ;     ;    ;    ;CII
Fairall9       ;NGC484                    ;5200;39.1; 735.0;    ;    ;UL   ;    ;    ;UL
Mrk1383        ;IC1011                    ;7500;14.1; 735.0;  65;7077;Lya  ;    ;    ;UL
VIIZw118       ;UGC3642                   ;4498;28.2; 738.0;    ;    ;UL   ;    ;    ;UL
IRAS09149-6206 ;ESO091-G02                ;3045;    ; 740.0;    ;    ;     ;    ;    ;UL
IRAS09149-6206 ;IRAS09106-6258            ;2997;    ; 741.0;    ;    ;     ;    ;    ;UL
PKS2155-304    ;2dFGRSS408Z175            ;2679; 6.7; 741.0;    ;    ;UL   ;    ;    ;UL
PG1216+069     ;NGC4247                   ;3838;18.8; 742.0;    ;    ;Lya  ;    ;    ;UL
Mrk477         ;NGC5687                   ;2119;23.1; 743.0;    ;    ;     ;    ;    ;OI
Mrk477         ;KUG1437+524               ;2181; 9.6; 743.0;    ;    ;     ;    ;    ;OI
3C263          ;UGC6390                   ;1008;10.3; 747.0;    ;    ;     ;    ;    ;UL
Mrk478         ;UGC9562                   ;1253; 6.4; 748.0;    ;    ;UL   ;    ;    ;CII
PG1011-040     ;MCG-1-26-12               ; 662;10.4; 750.0;    ;    ;     ;    ;    ;UL
Mrk110         ;UGC4913                   ;2371;13.7; 751.0;    ;    ;UL   ;    ;    ;
VIIZw118       ;UGC3748                   ;2479;12.2; 753.0; 333;2438;Lya  ;    ;    ;H2
PG0953+414     ;NGC3184                   ; 593;23.4; 758.0;    ;    ;Lya  ;    ;    ;OVI
HE1228+0131    ;MCG0-32-15                ;6948;26.2; 756.0;    ;    ;UL   ;    ;    ;UL
Mrk477         ;SBS1436+529B              ;3389;10.0; 761.0;    ;    ;     ;    ;    ;flaw
ESO141-G55     ;IC4824                    ; 953; 9.7; 769.0;    ;    ;     ;    ;    ;H2
3C273.0        ;UGC7625                   ;2234; 9.6; 771.0;  20;2160;Lya  ;    ;    ;OI
Mrk106         ;CGCG265-14                ;3334;13.1; 772.0;    ;    ;     ;    ;    ;flaw
TonS180        ;ESO541-G05                ;1958; 8.3; 774.0;  54;1939;Lya  ;    ;    ;OVI
TonS180        ;ESO474-G45                ;1863; 7.2; 777.0;    ;    ;UL   ;    ;    ;UL
PG1302-102     ;MCG-2-33-97               ;2705;14.9; 782.0;    ;    ;UL   ;    ;    ;UL
PKS2005-489    ;2MASXJ200943.13-481105.2  ;5116;16.6; 787.0; 330;5071;Lya  ;    ;    ;H2
PHL1811        ;SDSSJ215446.45-084616.9   ;5498;12.0; 787.0;  35;5402;Lya  ;    ;    ;H2
ESO141-G55     ;ESO141-G42                ; 935;10.6; 790.0;    ;    ;     ;    ;    ;H2
Mrk876         ;UGC10376                  ;3246;19.3; 799.0;    ;    ;UL   ;    ;    ;CII*
Fairall9       ;ESO113-G35                ;5063;19.6; 799.0;    ;    ;UL   ;    ;    ;UL
Fairall9       ;ESO115-G21                ; 513; 6.8; 799.0;    ;    ;     ;    ;    ;UL
PG0838+770     ;UGC4238                   ;1544;16.3; 803.0;    ;    ;     ;    ;    ;UL
Mrk586         ;UGC1618                   ;6274;21.8; 805.0;    ;    ;     ;    ;    ;UL
Mrk501         ;NGC6239                   ; 922;11.3; 807.0;    ;    ;     ;    ;    ;UL
IRAS09149-6206 ;ESO126-G10                ;2152;15.8; 808.0;    ;    ;     ;    ;    ;OI
RXJ0048.3+3941 ;CGCG535-25                ;4001; 9.5; 810.0;    ;    ;     ;    ;    ;UL
HE1143-1810    ;ESO572-G06                ;1737; 9.9; 811.0;    ;    ;     ;    ;    ;OVI
NGC985         ;SDSSJ023305.84-081908.8   ;5680; 5.9; 811.0;    ;    ;NV   ;    ;    ;H2
PG1149-110     ;PGC37027                  ;2379;14.5; 812.0;    ;    ;UL   ;    ;    ;
PG0844+349     ;NGC2649                   ;4244;29.1; 814.0;    ;    ;     ;    ;    ;UL
PG1444+407     ;SDSSJ145001.59+402142.4   ;4814; 8.0; 817.0;    ;    ;UL   ;    ;    ;UL
PG1302-102     ;NGC4933                   ;2965;34.9; 820.0;    ;    ;UL   ;    ;    ;UL
PG1341+258     ;CGCG132-10                ;3188; 6.9; 825.0;    ;    ;UL   ;    ;    ;
PG0844+349     ;UGC4660                   ;2203;11.6; 826.0;    ;    ;     ;    ;    ;UL
PKS2155-304    ;ESO466-G36                ;2380;12.7; 829.0;    ;    ;UL   ;    ;    ;UL
PG0804+761     ;UGC3909LI                 ; 945;11.3; 829.0; 159;1144;Lya  ;    ;    ;CII
PG1302-102     ;MCG-1-33-60               ;1487;20.1; 830.0;    ;    ;UL   ;    ;    ;H2
Mrk110         ;UGC4906                   ;2322;20.7; 834.0;    ;    ;UL   ;    ;    ;
ESO438-G09     ;ESO438-G15                ;3353;29.6; 838.0;    ;    ;UL   ;    ;    ;
PG0804+761     ;UGC4466                   ;1416; 8.4; 839.0;    ;    ;UL   ;    ;    ;H2
3C351.0        ;SDSSJ171138.94+604341.8   ;3855; 6.3; 839.0;    ;    ;UL   ;    ;    ;Lylim
PG1216+069     ;IC773                     ;5477;26.9; 841.0;    ;    ;UL   ;    ;    ;UL
PKS0558-504    ;ESO205-G07                ;2000; 7.0; 841.0;    ;    ;     ;    ;    ;H2
VIIZw118       ;UGC3660                   ;4262;31.0; 845.0;    ;    ;UL   ;    ;    ;UL
3C249.1        ;UGC5701                   ;1621; 9.5; 845.0;    ;    ;UL   ;    ;    ;OVI
MRC2251-178    ;MCG-3-58-13               ;3271;10.0; 846.0;    ;    ;Lya  ;    ;    ;UL
Mrk290         ;NGC5879                   ; 772;16.2; 848.0;    ;    ;     ;    ;    ;UL
HE1143-1810    ;ESO571-G16                ;3637;26.8; 851.0;    ;    ;     ;    ;    ;UL
PG1011-040     ;2MASXJ101213.26-040226.2  ;5619;20.2; 852.0;    ;    ;     ;    ;    ;UL
MRC2251-178    ;NGC45                     ; 468; 6.3; 852.0;    ;    ;Lya  ;    ;    ;Lyg
Mrk501         ;NGC6255                   ; 918;15.8; 854.0;    ;    ;     ;    ;    ;UL
3C249.1        ;CGCG351-57\LI             ;6755;14.3; 858.0; 245;6672;Lya  ;    ;    ;UL
H1821+643      ;NGC6690                   ; 488; 8.7; 858.0;    ;    ;Lya  ;    ;    ;UL
Mrk279         ;NGC5832                   ; 453; 9.1; 861.0;    ;    ;UL   ;    ;    ;UL
PG1302-102     ;MCG-2-33-85               ;1582;11.6; 863.0;    ;    ;Lyb  ;    ;    ;OVI
IRAS09149-6206 ;ESO091-G12                ;2866;10.8; 863.0;    ;    ;     ;    ;    ;UL
IRAS09149-6206 ;ESO091-G03                ;1906;23.6; 865.0;    ;    ;     ;    ;    ;H2
ESO141-G55     ;IC4826                    ;1925;10.5; 865.0;    ;    ;UL   ;    ;    ;H2
HE1228+0131    ;NGC4385                   ;2140;21.8; 866.0;    ;    ;UL   ;    ;    ;OI
ESO141-G55     ;IC4819                    ;1841;21.1; 868.0;    ;    ;UL   ;    ;    ;H2
TonS210        ;NGC613                    ;1475;27.4; 872.0;    ;    ;UL   ;    ;    ;CII*
PG0804+761     ;UGC4202                   ;2296;12.0; 875.0;  28;2282;Lya  ;    ;    ;UL
TonS180        ;NGC24                     ; 554; 7.5; 876.0;    ;    ;UL   ;    ;    ;UL
Mrk9           ;UGC3897                   ;3529;19.4; 877.0;    ;    ;     ;    ;    ;UL
ESO141-G55     ;ESO141-G46                ;4079;23.2; 878.0;    ;    ;UL   ;    ;    ;UL
Mrk106         ;UGC4984                   ;3386;15.5; 881.0;    ;    ;     ;    ;    ;flaw
PG1302-102     ;UGCA307                   ; 824; 9.1; 882.0;    ;    ;UL   ;    ;    ;UL
HE1143-1810    ;ESO572-G09                ;1737;12.9; 884.0;    ;    ;     ;    ;    ;OVI
1H0717+714     ;UGC3921                   ;2475;11.7; 888.0;    ;    ;     ;    ;    ;H2
ESO141-G55     ;ESO142-IG08               ;4292; 7.0; 889.0;    ;    ;UL   ;    ;    ;UL
PG1116+215     ;NGC3501                   ;1134;11.3; 889.0;    ;    ;UL   ;    ;    ;UL
PG1116+215     ;UGC6324                   ;1083; 9.9; 894.0;    ;    ;UL   ;    ;    ;UL
Mrk9           ;UGC4121                   ;1092;11.8; 895.0;    ;    ;     ;    ;    ;UL
Mrk501         ;NGC6207                   ; 850;12.2; 895.0;    ;    ;     ;    ;    ;UL
PG1444+407     ;SDSSJ145045.59+413742.5   ;2582; 4.2; 897.0;  95;2630;Lya  ;    ;    ;UL
PG1011-040     ;NGC3115                   ; 658;26.6; 900.0;    ;    ;     ;    ;    ;UL
PG1302-102     ;UGCA312                   ;1307; 8.6; 900.0;    ;    ;Lya  ;    ;    ;CII
1H0717+714     ;UGC3580                   ;1201;18.0; 900.0;    ;    ;     ;    ;    ;CII
PG1302-102     ;NGC4802                   ;1013;12.8; 901.0;    ;    ;Lya  ;    ;    ;UL
RXJ0100.4-5113 ;ESO151-G19                ;1386; 6.5; 902.0;    ;    ;UL   ;    ;    ;UL
1H0717+714     ;IC2184                    ;3605;12.8; 903.0;    ;    ;     ;    ;    ;UL
Mrk9           ;UGC3885                   ;3809;15.3; 904.0;    ;    ;     ;    ;    ;UL
PG0804+761     ;NGC2591                   ;1323;18.5; 907.0;    ;    ;UL   ;    ;    ;CII
Mrk290         ;NGC5866B                  ; 844;10.5; 907.0;    ;    ;     ;    ;    ;UL
PG1149-110     ;Mrk1309                   ;1715;13.2; 909.0;    ;    ;Lya  ;    ;    ;
HE0340-2703    ;2MASXJ034134.24-274918.7  ;4125;10.9; 913.0;    ;    ;Lya  ;    ;    ;
1H0707-495     ;ESO207-G09                ;1159; 8.0; 914.0;    ;    ;     ;    ;    ;CII
Mrk335         ;NGC7798                   ;2404;12.4; 915.0;    ;    ;UL   ;    ;    ;UL
PG1553+113     ;UGC10014                  ;1121; 7.1; 916.0;    ;    ;     ;    ;    ;UL
PG1341+258     ;NGC4826                   ; 408;13.3; 924.0;    ;    ;Lya  ;    ;    ;
Mrk586         ;UGC1624                   ;7031;30.1; 926.0;    ;    ;     ;    ;    ;UL
1H0717+714     ;UGC3940                   ;2462;14.7; 927.0;    ;    ;     ;    ;    ;H2
PG1302-102     ;DDO163                    ;1123;11.0; 930.0;    ;    ;UL   ;    ;    ;UL
ESO438-G09     ;ESO438-G14                ;2130; 7.8; 932.0;    ;    ;UL   ;    ;    ;
HS0624+6907    ;UGC3403                   ;1264;12.6; 932.0;    ;    ;UL   ;    ;    ;CII
Mrk279         ;FGC1680                   ;3865;14.1; 937.0;    ;    ;UL   ;    ;    ;UL
ESO438-G09     ;2MASXJ110443.60-290633.2  ;2391; 8.6; 939.0;    ;    ;UL   ;    ;    ;
MS0700.7+6338  ;UGC3685                   ;1797;25.9; 941.0;    ;    ;     ;    ;    ;H2
TonS210        ;ESO413-G02                ;5588;17.9; 942.0;    ;    ;UL   ;    ;    ;UL
HE0340-2703    ;ESO419-G03                ;4109;26.9; 942.0; 167;4100;Lya  ;    ;    ;
PG1049-005     ;NGC3365                   ; 986;23.2; 943.0;    ;    ;UL   ;    ;    ;
3C263          ;NGC3945                   ;1220;15.6; 950.0;    ;    ;     ;    ;    ;CII
3C263          ;UGC6534                   ;1273;15.2; 955.0;    ;    ;     ;    ;    ;CII
HE0226-4110    ;NGC986                    ;2005;28.6; 955.0;    ;    ;UL   ;    ;    ;UL
MCG+10-16-111  ;UGC6335                   ;2927;20.6; 957.0;    ;    ;UL   ;    ;    ;
3C263          ;UGC7490                   ; 467; 8.7; 961.0;    ;    ;     ;    ;    ;UL
MCG+10-16-111  ;2MASXJ111605.92+583003.6  ;6599;20.1; 961.0;    ;    ;UL   ;    ;    ;
PG1049-005     ;NGC3521                   ; 805;49.2; 962.0;    ;    ;UL   ;    ;    ;
PG0844+349     ;UGC4704                   ; 596;13.2; 967.0;    ;    ;     ;    ;    ;UL
Mrk586         ;NGC851                    ;3111;11.9; 967.0;    ;    ;     ;    ;    ;UL
HE0226-4110    ;ESO298-G15                ;1415; 9.3; 969.0;    ;    ;UL   ;    ;    ;CII
HE0340-2703    ;NGC1406                   ;1075;13.8; 972.0;    ;    ;UL   ;    ;    ;
HE0340-2703    ;NGC1425                   ;1510;31.6; 974.0;    ;    ;UL   ;    ;    ;
HE1143-1810    ;ESO572-G07                ;1466; 9.3; 976.0;    ;    ;     ;    ;    ;CII*
PKS2155-304    ;NGC7163                   ;2875;19.2; 979.0;    ;    ;UL   ;    ;    ;UL
HE0226-4110    ;ESO299-IG01               ;5366;10.7; 980.0;    ;    ;UL   ;    ;    ;UL
RXJ1830.3+7312 ;UGC11193                  ;1513; 8.9; 985.0;    ;    ;UL   ;    ;    ;H2
ESO185-IG13    ;ESO185-G03                ;3031;14.6; 985.0;    ;    ;     ;    ;    ;UL
PG1302-102     ;UGCA308                   ;1322; 9.4; 986.0;    ;    ;Lya  ;    ;    ;CII
PG1302-102     ;NGC4818                   ;1065;24.0; 987.0;    ;    ;Lya  ;    ;    ;UL
PG1302-102     ;NGC4948A                  ;1553;10.5; 991.0;    ;    ;UL   ;    ;    ;UL
NGC985         ;DDO23                     ;2110;15.3; 993.0;  69;1924;Lya  ;    ;    ;UL
NGC985         ;DDO23                     ;2110;15.3; 993.0;  42;2183;Lya  ;    ;    ;OI
PG1302-102     ;NGC5068                   ; 672;10.9; 995.0;    ;    ;UL   ;    ;    ;UL
Mrk1095        ;UGC3258                   ;2821; 8.6; 999.0;    ;    ;UL   ;    ;    ;UL
RXJ1830.3+7312 ;UGC11334                  ;4582;37.8;1022.0;  45;4770;Lya  ;    ;    ;UL
RXJ1830.3+7312 ;UGC11334                  ;4582;37.8;1022.0;  47;4260;Lya  ;    ;    ;SVI
Mrk106         ;UGC4800                   ;2433;17.5;1030.0;    ;    ;     ;    ;    ;UL
HE1029-1401    ;MCG-2-27-9                ;4529;37.7;1035.0;  56;4567;Lya  ;    ;    ;
Mrk421         ;HS1059+3934               ;3274; 3.8;1041.0;  84;3007;Lya  ;    ;    ;UL
HE1029-1401    ;MCG-2-27-1                ;2028;13.9;1065.0;  90;2004;Lya  ;    ;    ;
Mrk110         ;UGC5354                   ;1171; 8.6;1171.0; 115;1297;Lya  ;    ;    ;
RXJ0100.4-5113 ;ESO195-G17\LI             ;4708;18.6;1189.0;  83;4874;Lya  ;    ;    ;UL
Mrk586         ;NGC864                    ;1560;25.4;1239.0;    ;    ;     ;    ;    ;CII*
PG1001+291     ;UGC5461                   ;4799;20.5;1249.0; 242;4602;Lya  ;    ;    ;UL
Mrk1095        ;UGC3262                   ;4285;17.4;1306.0;  44;4048;Lya  ;    ;    ;UL
RXJ1830.3+7312 ;UGC11295                  ;2370;15.7;1307.0;  56;2383;Lya  ;    ;    ;H2
VIIZw118       ;UGC3685\LI                ;1797;25.9;1414.0;  38;1697;Lya  ;    ;    ;OVI
PKS0405-12     ;2MASXJ040607.61-102327.2  ;3436; 5.7;1489.0;  51;3574;Lya  ;    ;    ;UL
TonS180        ;ESO474-G25                ;2850;11.1;1509.0;  35;3001;Lya  ;    ;    ;UL
TonS180        ;2MASXJ010208.03-2245597   ;5611;16.6;1547.0; 255;5519;Lya  ;    ;    ;UL
Mrk290         ;NGC5971                   ;4306;29.5;1586.0;  34;4640;Lya  ;    ;    ;UL
PG1116+215     ;NGC3649                   ;4979;26.9;1742.0; 111;4884;Lya  ;    ;    ;Lyi
PG1259+593     ;MCG+10-19-23              ;4522;13.8;1869.0;  64;4501;Lya  ;    ;    ;UL
PG1211+143     ;CGCG69-129\LI             ;4987;10.0;1919.0; 165;4932;Lya  ;    ;    ;UL
PG1211+143     ;CGCG69-129\LI             ;4987;10.0;1919.0; 231;5015;Lya  ;    ;    ;H2
Mrk110         ;UGC4984                   ;3386;15.5;1975.0; 484;3579;Lya  ;    ;    ;
H1821+643      ;NGC6636                   ;4290;39.0;2434.0;  38;4084;Lya  ;    ;    ;UL
MRC2251-178    ;NGC7381                   ;4152;11.9;2470.0;  34;4371;Lya  ;    ;    ;UL
H1821+643      ;NGC6667                   ;2582;25.7;2475.0;  17;2836;Lya  ;    ;    ;UL
H1821+643      ;FGC2210                   ;5065;17.0;2832.0;  22;5253;Lya  ;    ;    ;H2
MCG+10-16-111  ;NGC3809\LI                ;3443;14.6;2910.0;  31;3541;Lya  ;    ;    ;
MCG+10-16-111  ;NGC3809\LI                ;3443;14.6;2910.0;  50;3792;Lya  ;    ;    ;
MCG+10-16-111  ;SDSSJ104924\LI            ;4162; 8.0;4351.0;  52;4043;Lya  ;    ;    ;
PG0804+761     ;UGC3889\LI                ;5249;26.1;4541.0; 338;5549;Lya  ;    ;    ;H2
Mrk509         ;MCG-1-54-3\LI             ;2231;17.3;4834.0; 224;2545;Lya  ;    ;    ;UL
PKS0405-12     ;---                       ;  -1;    ;5000.0;  35;5035;Lya  ;    ;    ;UL
Mrk817         ;---                       ;  -1;    ;5000.0;  25;4670;Lya  ;    ;    ;UL