R (kpc),vel
22.2235,-148.864486
20.6963,-148.8945427
17.4245,-146.286724
15.679,-146.3210455
14.1517,-145.0150038
11.8618,-147.7321838
10.1163,-145.0943086
8.0438,-142.4629321
6.9531,-131.7956724
6.2991,-125.1280766
5.0989,-106.4464609
3.8996,-79.74825519
3.136,-61.05800834
2.0453,-39.70206356
1.3905,-19.67368752
-0.6821,29.72082613
-1.7727,55.08506593
-3.299,79.10457626
-4.7175,96.4459304
-6.1352,119.1314748
-8.2077,132.451638
-9.1896,139.112735
-11.0438,147.0928712
-11.9161,148.4117073
-12.7885,149.7306449
-13.8791,151.0453178
-15.2976,151.0174951
-17.1518,149.6449429
-19.1148,149.6062552