R (kpc),vel,,R neg,vel neg
10.28668,186.246,,-10.28668,-186.246
10.04719,185.122,,-10.04719,-185.122
9.79775,195.456,,-9.79775,-195.456
9.56043,199.283,,-9.56043,-199.283
9.31672,193.458,,-9.31672,-193.458
9.07751,194.794,,-9.07751,-194.794
8.83467,194.322,,-8.83467,-194.322
8.58809,194.38,,-8.58809,-194.38
8.34956,190.145,,-8.34956,-190.145
8.10104,194.977,,-8.10104,-194.977
7.86179,201.509,,-7.86179,-201.509
7.61953,203.372,,-7.61953,-203.372
7.37867,201.849,,-7.37867,-201.849
7.13205,201.625,,-7.13205,-201.625
6.88751,203.237,,-6.88751,-203.237
6.64796,202.519,,-6.64796,-202.519
6.40182,208.754,,-6.40182,-208.754
6.1613,208.639,,-6.1613,-208.639
5.91662,204.611,,-5.91662,-204.611
5.67736,197.648,,-5.67736,-197.648
5.4321,193.234,,-5.4321,-193.234
5.19105,192.97,,-5.19105,-192.97
4.9499,199.069,,-4.9499,-199.069
4.70647,201.931,,-4.70647,-201.931
4.46155,202.24,,-4.46155,-202.24
4.22302,212.727,,-4.22302,-212.727
3.9795,213.014,,-3.9795,-213.014
3.7382,212.242,,-3.7382,-212.242
3.4924,212.334,,-3.4924,-212.334
3.25266,211.293,,-3.25266,-211.293
3.00332,206.282,,-3.00332,-206.282
2.75995,203.819,,-2.75995,-203.819
2.52457,204.35,,-2.52457,-204.35
2.2763,198.495,,-2.2763,-198.495
2.03559,188.15,,-2.03559,-188.15
1.05888,149.286,,-1.05888,-149.286
0.822,150.722,,-0.822,-150.722
0.5842,131.583,,-0.5842,-131.583
0.33152,131.807,,-0.33152,-131.807
0.09114,91.014,,-0.09114,-91.014