R (arcmin),vel
3.997,127.633
3.664,137.893
3.324,137.893
2.992,133.379
2.66,141.587
2.332,147.332
2.213,146.512
2.102,145.28
1.983,145.486
1.867,146.101
1.752,147.127
1.637,150.616
1.522,154.514
1.407,156.156
1.287,152.668
1.173,150.821
1.053,146.306
0.934,137.893
0.819,136.457
0.7,136.047
0.586,123.324
0.467,109.371
0.348,105.882
0.234,90.082
0.117,47.811
-0.117,-47.811
-0.234,-90.082
-0.348,-105.882
-0.467,-109.371
-0.586,-123.324
-0.7,-136.047
-0.819,-136.457
-0.934,-137.893
-1.053,-146.306
-1.173,-150.821
-1.287,-152.668
-1.407,-156.156
-1.522,-154.514
-1.637,-150.616
-1.752,-147.127
-1.867,-146.101
-1.983,-145.486
-2.102,-145.28
-2.213,-146.512
-2.332,-147.332
-2.66,-141.587
-2.992,-133.379
-3.324,-137.893
-3.664,-137.893
-3.997,-127.633