R (kpc),vel,,,R neg,vel neg,,,
12.5507,80.45,,,-12.5507,-80.45,,,
11.9258,80.04,,,-11.9258,-80.04,,,
11.4333,79.65,,,-11.4333,-79.65,,,
10.9409,79.46,,,-10.9409,-79.46,,,
10.4065,79.21,,,-10.4065,-79.21,,,
9.9559,78.75,,,-9.9559,-78.75,,,
9.4635,78.16,,,-9.4635,-78.16,,,
8.9893,77.54,,,-8.9893,-77.54,,,
8.4785,77.05,,,-8.4785,-77.05,,,
8.0142,76.36,,,-8.0142,-76.36,,,
7.4936,75.46,,,-7.4936,-75.46,,,
6.9905,74.57,,,-6.9905,-74.57,,,
6.5087,73.82,,,-6.5087,-73.82,,,
6.0025,72.68,,,-6.0025,-72.68,,,
5.523,71.87,,,-5.523,-71.87,,,79.38857143
5.0305,70.54,,,-5.0305,-70.54,,,0.771738915
4.538,68.77,,,-4.538,-68.77,,,
4.0456,66.84,,,-4.0456,-66.84,,,
3.5561,64.57,,,-3.5561,-64.57,,,
3.0591,61.28,,,-3.0591,-61.28,,,
2.5834,57.96,,,-2.5834,-57.96,,,
2.2652,54.05,,,-2.2652,-54.05,,,
1.9607,49.49,,,-1.9607,-49.49,,,
1.6913,45.28,,,-1.6913,-45.28,,,
1.399,40.96,,,-1.399,-40.96,,,
1.2422,36.5,,,-1.2422,-36.5,,,
1.0839,31.39,,,-1.0839,-31.39,,,
0.9492,26.91,,,-0.9492,-26.91,,,
0.8137,22.42,,,-0.8137,-22.42,,,
0.679,17.93,,,-0.679,-17.93,,,
0.5435,13.45,,,-0.5435,-13.45,,,
0.3783,7.89,,,-0.3783,-7.89,,,
0.1857,1.6,,,-0.1857,-1.6,,,